,MBL,has_parking
151,18-C-36,1.0
152,35-E-6,1.0
153,24-A-13,1.0
154,34-C-62,1.0
155,24-I-6,1.0
156,18-C-45,1.0
157,33-G-1,1.0
158,42-F-24,1.0
159,34-D-37,1.0
160,34-E-51,1.0
161,24-G-12,1.0
162,37-A-23,0.0
163,16-C-25,1.0
164,11-E-27,1.0
165,9-A-3,1.0
166,42-B-4,1.0
167,43-C-18,1.0
168,39-F-9,1.0
169,31-D-10,1.0
170,65-E-27,0.0
171,80-G-4,1.0
172,3-E-36,1.0
173,91-B-14,0.0
174,51-E-30,1.0
175,93-G-8,1.0
176,49-H-6,1.0
177,80-C-6,1.0
178,29-L-14,1.0
179,42-B-25,1.0
180,8-H-13,1.0
181,90-E-11,1.0
182,48-C-29,1.0
183,54-B-14,1.0
184,72-D-9,1.0
185,93-G-4,1.0
186,55-D-11,1.0
187,55-C-13,1.0
188,105-C-22,1.0
189,62-B-3,1.0
190,73-B-12,1.0
191,44-H-1,1.0
192,20-E-11,1.0
193,72-C-12,1.0
194,41-D-21,1.0
195,54-B-13,1.0
196,33-G-24,1.0
197,20-A-16,1.0
198,16-B-3,1.0
199,90-A-4,1.0
200,59-C-14,1.0
201,28-C-21,1.0
202,60-A-11,1.0
203,90-F-14,1.0
204,7-F-12,1.0
205,9-C-6,1.0
206,91-D-17,1.0
207,70-A-15,1.0
208,31-A-8,1.0
209,58-D-12,1.0
210,58-E-15,1.0
211,17-A-7,1.0
212,25-E-22,1.0
213,41-D-19,1.0
214,35-A-12,1.0
215,38-F-18,1.0
216,75-A-18,1.0
217,50-C-16,1.0
218,70-B-19,1.0
219,102-B-1,1.0
220,16-D-16,1.0
221,89-B-3,1.0
222,105-B-11,1.0
223,60-E-4,1.0
224,15-D-11,1.0
225,9-C-8,1.0
226,104-A-18,1.0
227,18-C-25,1.0
228,13-D-47,1.0
229,50-F-13,1.0
230,25-E-11,1.0
231,12-B-7,1.0
232,9-D-9,1.0
233,15-C-26,1.0
234,52-F-4,1.0
235,42-E-3,1.0
236,81-C-10,1.0
237,44-A-38,1.0
238,90-A-9,1.0
239,29-L-20,1.0
240,104-D-64,1.0
241,41-B-19,1.0
242,19-E-10,1.0
243,8-G-20,1.0
244,91-A-29,1.0
245,24-K-2,1.0
246,90-I-3,1.0
247,60-A-6,1.0
248,4-B-9,1.0
249,50-E-13,1.0
250,104-D-65,1.0
251,104-D-65,1.0
252,42-C-23,1.0
253,15-A-9,1.0
254,60-A-5,1.0
255,90-G-6,1.0
256,39-G-13,1.0
257,51-D-7,1.0
258,68-D-15,1.0
259,51-E-40,1.0
260,45-C-14,1.0
261,2-A-8,1.0
262,15-A-25,1.0
263,41-C-40,1.0
264,29-D-27,1.0
265,29-K-17,1.0
266,18-C-59,1.0
267,83-E-2,1.0
268,105-C-2,1.0
269,28-B-8,1.0
270,7-F-7,1.0
271,69-H-24,1.0
272,102-D-25,1.0
273,16-A-11,1.0
274,83-D-12,1.0
275,8-I-3,1.0
276,104-E-13,1.0
277,25-E-7,1.0
278,12-C-19,1.0
279,58-A-5,1.0
280,11-C-4,1.0
281,102-E-2,1.0
282,12-C-15,1.0
283,15-D-7,1.0
284,16-B-44,1.0
285,13-B-11,1.0
286,6-C-12,1.0
287,15-C-30,1.0
288,75-H-23,1.0
289,51-E-44,1.0
290,69-H-26,1.0
291,3-C-38,1.0
292,62-B-15,1.0
293,92-F-10,1.0
294,28-F-27,1.0
295,28-G-28,1.0
296,9-B-8,1.0
297,104-C-21,1.0
298,80-G-5,1.0
299,34-B-9,1.0
300,76-D-5,1.0
301,69-H-10,1.0
302,83-A-61,1.0
303,16-C-8,1.0
304,3-C-40,1.0
305,97-G-1,0.0
306,36-A-8,1.0
307,47-B-18,1.0
308,71-D-16,1.0
309,38-E-27,1.0
310,29-E-3,1.0
311,59-B-20,1.0
312,47-C-31,1.0
313,50-E-3,1.0
314,48-D-13,0.0
315,56-B-11,1.0
316,16-B-38,1.0
317,28-D-31,1.0
318,16-C-33,1.0
319,20-A-9,1.0
320,6-E-8,1.0
321,51-A-23,1.0
322,2-A-23,1.0
323,32-H-4,1.0
324,28-I-11,1.0
325,16-A-24,1.0
326,2-A-25,1.0
327,48-C-11,1.0
328,72-B-48,1.0
329,46-G-5,1.0
330,10-E-15,1.0
331,18-B-45,1.0
332,91-G-9,1.0
333,27-G-8,1.0
334,11-I-22,1.0
335,16-C-17,1.0
336,18-B-46,1.0
337,16-D-7,1.0
338,27-G-5,1.0
339,57-A-16,1.0
340,24-H-12,1.0
341,92-K-4,1.0
342,18-B-50,1.0
343,10-C-7,1.0
344,50-H-2,1.0
345,69-D-23,1.0
346,7-K-34,1.0
347,47-I-6,1.0
348,56-D-29,1.0
349,34-D-48,1.0
350,34-D-21,1.0
351,15-E-7,1.0
352,3-F-19,1.0
353,10-E-23,1.0
354,48-F-17,1.0
355,48-C-32,1.0
356,48-A-18,1.0
357,3-D-23,1.0
358,44-B-3,1.0
359,48-A-9,1.0
360,79-B-1,1.0
361,8-A-37,1.0
362,45-G-15,1.0
363,8-A-43,1.0
364,61-H-2,1.0
365,8-A-47,1.0
366,27-E-30,1.0
367,37-D-2,1.0
368,41-A-51,1.0
369,37-C-6,1.0
370,58-E-10,1.0
371,15-A-18,1.0
372,33-A-6,1.0
373,56-A-8,1.0
374,92-F-14,0.0
375,52-F-7,1.0
376,8-H-5,1.0
377,8-G-5,1.0
378,45-H-7,1.0
379,58-A-6,1.0
380,29-L-7,1.0
381,28-I-19,1.0
382,7-G-27,1.0
383,16-C-7,1.0
384,56-C-4,1.0
385,92-C-9,1.0
386,72-F-11,1.0
387,15-D-26,1.0
388,31-C-38,2.0
389,8-D-3,1.0
390,26-B-9,1.0
391,7-K-5,2.0
392,81-A-27,1.0
393,54-G-5,1.0
394,29-G-23,1.0
395,43-F-6,1.0
396,83-C-9,2.0
397,63-C-6,1.0
398,105-A-32,2.0
399,62-C-18,1.0
400,8-K-11,2.0
401,71-E-67,2.0
402,6-E-11,1.0
403,34-D-39,1.0
404,52-F-9,2.0
405,41-A-28,1.0
406,80-B-26,0.0
407,13-C-24,0.0
408,90-C-8,0.0
409,31-D-8,1.0
410,31-D-8,1.0
411,60-D-12,1.0
412,19-A-17,0.0
413,91-H-8,0.0
414,29-E-15,0.0
415,66-C-6,0.0
416,47-I-9,0.0
417,71-E-4,0.0
418,76-A-4,0.0
419,28-B-23,0.0
420,10-G-18,0.0
421,29-I-17,0.0
422,38-D-1,0.0
423,97-G-2,0.0
424,66-A-11,0.0
425,32-M-6,0.0
426,24-H-1,1.0
427,89-F-6,0.0
428,42-C-5,0.0
429,51-F-28,0.0
430,66-A-22,0.0
431,90-E-4,0.0
432,34-E-16,1.0
433,30-A-16,0.0
434,43-C-1,0.0
435,12-A-29,0.0
436,74-D-8,1.0
437,29-I-19,0.0
438,29-F-1,1.0
439,61-E-5,0.0
440,37-C-23,0.0
441,32-D-14,1.0
442,25-C-4,0.0
443,38-F-22,1.0
444,38-A-71,0.0
445,16-C-24,1.0
446,38-A-42,0.0
447,43-C-31,0.0
448,95-A-7,2.0
449,77-D-6,2.0
450,65-F-8,2.0
451,20-C-29,2.0
452,36-C-10,1.0
453,43-C-11,1.0
454,51-B-10,2.0
455,75-E-28,1.0
456,55-D-1,1.0
457,92-B-10,2.0
458,92-B-9,2.0
459,12-A-35,2.0
460,90-A-11,1.0
461,19-A-8,2.0
462,80-B-11,2.0
463,92-I-14,1.0
464,17-G-12,0.0
465,44-F-8,0.0
466,90-G-41,0.0
467,35-C-7,0.0
468,75-C-5,0.0
469,73-B-13,0.0
470,54-B-6,0.0
471,63-B-25,0.0
472,58-C-12,0.0
473,29-D-23,0.0
474,32-L-9,0.0
475,15-D-1,1.0
476,103-C-5,0.0
477,66-C-13,0.0
478,78-F-6,0.0
479,90-B-13,0.0
480,65-A-19,0.0
481,105-A-37,0.0
482,50-I-7,0.0
483,62-A-40,0.0
484,82-E-7,0.0
485,104-E-6,0.0
486,58-E-1,0.0
487,27-F-3,0.0
488,43-A-11,0.0
489,24-L-4,0.0
490,81-C-14,0.0
491,26-I-12,1.0
492,44-H-5,0.0
493,17-B-15,0.0
494,27-C-3,0.0
495,13-C-23,1.0
496,26-I-11,2.0
497,81-A-28,1.0
498,82-A-5,1.0
499,29-G-11,2.0
500,1-C-6,1.0
501,1-C-7,1.0
502,1-C-8,1.0
503,1-E-1,1.0
504,1-E-10,1.0
505,1-E-12,1.0
506,1-E-13,1.0
507,1-E-15,1.0
508,1-E-16,1.0
509,1-E-18,1.0
510,1-E-19,1.0
511,1-E-20,1.0
512,1-E-21,1.0
513,1-E-22,1.0
514,1-E-4,1.0
515,1-E-6,1.0
516,10-E-13,1.0
517,10-E-14,1.0
518,10-E-17,1.0
519,10-E-19,1.0
520,10-E-21,1.0
521,10-E-22,1.0
522,10-E-5,1.0
523,10-E-6,1.0
524,10-E-8,1.0
525,10-E-9,1.0
526,10-F-10,1.0
527,10-F-11,1.0
528,10-F-18,1.0
529,10-F-19,1.0
530,10-F-2,1.0
531,10-F-23,1.0
532,10-F-24,1.0
533,10-F-25,1.0
534,10-F-27,1.0
535,10-F-28,1.0
536,10-F-30,1.0
537,10-F-6,1.0
538,10-F-9,1.0
539,10-G-1,1.0
540,10-G-16,0.0
541,10-H-11,1.0
542,101-B-14,1.0
543,102-A-2,0.0
544,102-A-3,1.0
545,102-A-4,1.0
546,102-B-3,1.0
547,102-B-5,1.0
548,102-C-2,1.0
549,102-C-3,1.0
550,102-C-4,1.0
551,102-D-10,0.0
552,102-D-12,1.0
553,102-D-15,1.0
554,102-D-26,1.0
555,102-D-27,1.0
556,102-D-28,1.0
557,102-D-30,1.0
558,102-D-6,0.0
559,102-E-1,1.0
560,102-E-13,1.0
561,102-E-14,1.0
562,102-E-15,1.0
563,102-E-3,1.0
564,102-E-4,1.0
565,102-E-5,1.0
566,102-E-6,1.0
567,103-A-11,1.0
568,103-A-12,1.0
569,103-A-18,1.0
570,103-A-19,1.0
571,103-A-2,0.0
572,103-A-21,1.0
573,103-A-7,0.0
574,103-B-10,1.0
575,103-B-12,0.0
576,103-B-5,1.0
577,103-B-7,1.0
578,103-B-9,1.0
579,103-C-10,0.0
580,103-C-13,0.0
581,103-C-16,1.0
582,103-C-17,1.0
583,103-C-2,1.0
584,103-C-23,1.0
585,103-C-24,1.0
586,103-C-27,1.0
587,103-C-31,0.0
588,103-C-32,1.0
589,103-C-7,0.0
590,103-C-8,0.0
591,103-D-12,0.0
592,103-D-14,1.0
593,103-D-6,1.0
594,103-E-1,1.0
595,103-E-11,1.0
596,103-E-12,1.0
597,103-E-18,1.0
598,103-E-19,1.0
599,103-E-3,1.0
600,103-F-4,1.0
601,103-F-9,1.0
602,103-G-1,1.0
603,103-G-12,1.0
604,103-G-13,1.0
605,103-G-15,1.0
606,103-G-16,0.0
607,103-G-6,1.0
608,103-G-7,1.0
609,103-G-8,1.0
610,103-G-9,1.0
611,103-H-10,1.0
612,103-H-17,1.0
613,103-H-28,0.0
614,103-H-29,1.0
615,103-H-4,1.0
616,103-H-5,1.0
617,103-H-8,1.0
618,103-H-9,1.0
619,103-I-11,1.0
620,103-I-14,1.0
621,103-I-4,1.0
622,103-I-5,1.0
623,103-I-8,1.0
624,103-I-9,1.0
625,104-A-12,1.0
626,104-A-15,1.0
627,104-A-16,1.0
628,104-A-17,1.0
629,104-A-20,1.0
630,104-A-27,1.0
631,104-A-3,1.0
632,104-A-30,1.0
633,104-A-4,1.0
634,104-A-59,1.0
635,104-A-6,1.0
636,104-A-64,1.0
637,104-A-7,1.0
638,104-A-8,1.0
639,104-A-9,1.0
640,104-B-10,1.0
641,104-B-15,1.0
642,104-B-20,1.0
643,104-B-22,1.0
644,104-B-23,1.0
645,104-B-7,1.0
646,104-B-9,1.0
647,104-C-1,1.0
648,104-C-11,1.0
649,104-C-12,1.0
650,104-C-13,1.0
651,104-C-16,1.0
652,104-C-18,0.0
653,104-C-2,1.0
654,104-C-22,1.0
655,104-C-24,1.0
656,104-C-25,1.0
657,104-C-27,1.0
658,104-C-4,1.0
659,104-C-5,1.0
660,104-C-6,1.0
661,104-C-9,1.0
662,104-D-10,1.0
663,104-D-11,1.0
664,104-D-12,1.0
665,104-D-13,1.0
666,104-D-18,1.0
667,104-D-25,1.0
668,104-D-26,1.0
669,104-D-28,1.0
670,104-D-30,1.0
671,104-D-31,1.0
672,104-D-34,1.0
673,104-D-51,1.0
674,104-D-53,1.0
675,104-D-55,1.0
676,104-D-62,1.0
677,104-D-9,1.0
678,104-E-11,1.0
679,104-E-16,1.0
680,104-E-17,1.0
681,104-E-18,1.0
682,104-E-19,1.0
683,104-E-2,1.0
684,104-E-20,1.0
685,104-E-21,1.0
686,104-E-4,1.0
687,104-E-5,1.0
688,104-E-7,1.0
689,105-A-1,1.0
690,105-A-2,1.0
691,105-A-20,1.0
692,105-A-24,1.0
693,105-A-25,1.0
694,105-A-3,1.0
695,105-A-36,1.0
696,105-A-38,1.0
697,105-A-39,1.0
698,105-A-40,1.0
699,105-A-43,1.0
700,105-A-44,1.0
701,105-A-6,0.0
702,105-A-7,1.0
703,105-A-8,1.0
704,105-B-10,1.0
705,105-B-12,1.0
706,105-B-15,1.0
707,105-B-19,0.0
708,105-B-2,1.0
709,105-B-22,1.0
710,105-B-23,1.0
711,105-B-25,0.0
712,105-B-26,0.0
713,105-B-27,0.0
714,105-B-29,0.0
715,105-B-3,1.0
716,105-B-7,0.0
717,105-B-9,1.0
718,105-C-1,1.0
719,105-C-10,1.0
720,105-C-13,1.0
721,105-C-15,1.0
722,105-C-23,1.0
723,105-C-26,1.0
724,105-C-27,1.0
725,105-C-28,1.0
726,105-C-32,0.0
727,105-C-38,0.0
728,105-C-5,1.0
729,105-C-7,1.0
730,105-D-10,1.0
731,105-D-12,1.0
732,105-D-16,1.0
733,105-D-17,1.0
734,105-D-2,1.0
735,105-D-23,1.0
736,105-D-25,1.0
737,105-D-28,1.0
738,105-D-3,1.0
739,105-D-5,1.0
740,105-D-8,1.0
741,105-D-9,1.0
742,11-A-1,1.0
743,11-A-10,1.0
744,11-A-11,1.0
745,11-A-12,1.0
746,11-A-13,1.0
747,11-A-17,1.0
748,11-A-18,1.0
749,11-A-2,1.0
750,11-A-22,1.0
751,11-A-23,1.0
752,11-A-24,1.0
753,11-A-25,1.0
754,11-A-26,1.0
755,11-A-28,1.0
756,11-A-29,1.0
757,11-A-3,1.0
758,11-A-5,1.0
759,11-A-6,1.0
760,11-A-7,1.0
761,11-A-8,1.0
762,11-A-9,1.0
763,11-B-10,1.0
764,11-B-11,1.0
765,11-B-12,1.0
766,11-B-13,1.0
767,11-B-14,1.0
768,11-B-16,1.0
769,11-B-18,1.0
770,11-B-19,1.0
771,11-B-21,1.0
772,11-B-22,0.0
773,11-B-23,1.0
774,11-B-25,1.0
775,11-B-26,1.0
776,11-B-3,1.0
777,11-B-4,1.0
778,11-B-5,1.0
779,11-B-6,1.0
780,11-B-7,1.0
781,11-B-8,1.0
782,11-B-9,1.0
783,11-C-11,0.0
784,11-C-14,1.0
785,11-C-15,1.0
786,11-C-16,1.0
787,11-C-17,1.0
788,11-C-18,1.0
789,11-C-19,0.0
790,11-C-2,1.0
791,11-C-21,1.0
792,11-C-22,1.0
793,11-C-24,1.0
794,11-C-25,1.0
795,11-C-26,1.0
796,11-C-3,1.0
797,11-C-7,1.0
798,11-C-9,1.0
799,11-D-10,1.0
800,11-D-12,1.0
801,11-D-14,0.0
802,11-D-15,1.0
803,11-D-17,0.0
804,11-D-2,1.0
805,11-D-20,0.0
806,11-D-21,0.0
807,11-D-22,0.0
808,11-D-28,1.0
809,11-D-4,1.0
810,11-D-8,1.0
811,11-D-9,1.0
812,11-E-1,1.0
813,11-E-13,1.0
814,11-E-16,1.0
815,11-E-17,1.0
816,11-E-19,1.0
817,11-E-20,1.0
818,11-E-21,1.0
819,11-E-22,1.0
820,11-E-24,1.0
821,11-E-25,1.0
822,11-E-4,1.0
823,11-E-5,1.0
824,11-E-6,1.0
825,11-E-7,1.0
826,11-E-8,1.0
827,11-E-9,1.0
828,11-F-10,1.0
829,11-F-13,1.0
830,11-F-18,1.0
831,11-F-4,1.0
832,11-G-1,1.0
833,11-G-10,1.0
834,11-G-12,0.0
835,11-G-13,1.0
836,11-G-14,1.0
837,11-G-15,1.0
838,11-G-16,1.0
839,11-G-2,1.0
840,11-G-5,1.0
841,11-G-7,1.0
842,11-G-8,1.0
843,11-G-9,1.0
844,11-H-1,1.0
845,11-H-12,0.0
846,11-H-14,1.0
847,11-H-16,1.0
848,11-H-17,1.0
849,11-H-4,1.0
850,11-H-6,1.0
851,11-I-12,1.0
852,11-I-13,1.0
853,11-I-14,1.0
854,11-I-18,1.0
855,11-I-2,1.0
856,11-I-23,1.0
857,11-I-25,1.0
858,11-I-26,1.0
859,11-I-27,1.0
860,11-I-4,1.0
861,11-I-5,1.0
862,11-I-6,1.0
863,11-I-8,1.0
864,11-I-9,1.0
865,114-A-1,1.0
866,115-C-1,1.0
867,12-A-10,1.0
868,12-A-12,1.0
869,12-A-16,1.0
870,12-A-19,1.0
871,12-A-23,1.0
872,12-A-24,1.0
873,12-A-25,1.0
874,12-A-7,1.0
875,12-A-8,1.0
876,12-A-9,1.0
877,12-B-1,1.0
878,12-B-11,1.0
879,12-B-12,1.0
880,12-B-13,1.0
881,12-B-18,1.0
882,12-B-21,1.0
883,12-B-23,1.0
884,12-B-25,1.0
885,12-B-26,1.0
886,12-B-27,1.0
887,12-B-28,1.0
888,12-B-29,1.0
889,12-B-30,1.0
890,12-B-31,1.0
891,12-B-32,1.0
892,12-B-33,1.0
893,12-B-4,1.0
894,12-B-5,1.0
895,12-C-1,1.0
896,12-C-10,1.0
897,12-C-11,1.0
898,12-C-14,1.0
899,12-C-26,1.0
900,12-C-3,1.0
901,12-C-5,1.0
902,12-C-9,1.0
903,13-A-12,1.0
904,13-A-13,1.0
905,13-A-14,1.0
906,13-A-15,1.0
907,13-A-17,1.0
908,13-A-20,1.0
909,13-A-21,1.0
910,13-A-23,1.0
911,13-A-26,1.0
912,13-A-27,1.0
913,13-A-29,1.0
914,13-A-31,0.0
915,13-A-32,0.0
916,13-A-37,0.0
917,13-A-48,1.0
918,13-A-49,1.0
919,13-A-50,1.0
920,13-A-55,1.0
921,13-A-59,1.0
922,13-A-61,1.0
923,13-A-62,1.0
924,13-A-63,1.0
925,13-A-66,1.0
926,13-A-67,1.0
927,13-A-70,1.0
928,13-A-71,1.0
929,13-A-72,1.0
930,13-A-73,1.0
931,13-A-74,1.0
932,13-A-76,1.0
933,13-A-77,1.0
934,13-A-81,1.0
935,13-B-12,1.0
936,13-B-14,1.0
937,13-B-15,1.0
938,13-B-17,1.0
939,13-B-19,1.0
940,13-B-20,1.0
941,13-B-3,1.0
942,13-B-4,1.0
943,13-B-5,1.0
944,13-B-7,1.0
945,13-C-12,1.0
946,13-C-13,1.0
947,13-C-17,1.0
948,13-C-20,1.0
949,13-C-21,1.0
950,13-C-22,1.0
951,13-C-3,0.0
952,13-C-4,1.0
953,13-C-6,1.0
954,13-C-8,1.0
955,13-C-9,1.0
956,13-D-1,0.0
957,13-D-13,1.0
958,13-D-16,1.0
959,13-D-18,1.0
960,13-D-23,1.0
961,13-D-24,1.0
962,13-D-25,1.0
963,13-D-27,1.0
964,13-D-30,1.0
965,13-D-31,0.0
966,13-D-32,1.0
967,13-D-33,1.0
968,13-D-34,1.0
969,13-D-36,1.0
970,13-D-37,1.0
971,13-D-40,1.0
972,13-D-41,1.0
973,13-D-43,1.0
974,13-D-46,1.0
975,13-D-5,1.0
976,13-D-7,1.0
977,13-D-9,1.0
978,13-E-1,1.0
979,13-E-10,1.0
980,13-E-19,1.0
981,13-E-5,1.0
982,13-E-7,1.0
983,13-F-1,1.0
984,13-F-11,0.0
985,13-F-15,0.0
986,13-F-18,1.0
987,13-F-19,1.0
988,13-F-2,1.0
989,13-F-20,0.0
990,13-F-21,1.0
991,13-F-22,1.0
992,13-F-3,1.0
993,13-F-4,1.0
994,13-F-6,1.0
995,13-F-7,1.0
996,15-A-10,1.0
997,15-A-11,1.0
998,15-A-13,1.0
999,15-A-15,1.0
1000,15-A-21,1.0
1001,15-A-23,1.0
1002,15-A-24,1.0
1003,15-A-26,1.0
1004,15-A-27,1.0
1005,15-A-28,0.0
1006,15-A-3,1.0
1007,15-A-4,1.0
1008,15-A-7,1.0
1009,15-A-8,1.0
1010,15-B-1,1.0
1011,15-B-12,1.0
1012,15-B-17,1.0
1013,15-B-18,1.0
1014,15-B-22,1.0
1015,15-B-23,1.0
1016,15-B-4,1.0
1017,15-B-5,1.0
1018,15-B-6,1.0
1019,15-B-7,1.0
1020,15-C-11,1.0
1021,15-C-13,1.0
1022,15-C-14,1.0
1023,15-C-15,0.0
1024,15-C-21,1.0
1025,15-C-22,1.0
1026,15-C-23,1.0
1027,15-C-24,1.0
1028,15-C-25,1.0
1029,15-C-27,1.0
1030,15-C-28,0.0
1031,15-C-29,1.0
1032,15-C-3,1.0
1033,15-C-32,1.0
1034,15-C-33,1.0
1035,15-C-34,1.0
1036,15-C-36,1.0
1037,15-C-37,0.0
1038,15-C-4,1.0
1039,15-C-5,1.0
1040,15-C-6,1.0
1041,15-C-8,1.0
1042,15-D-10,1.0
1043,15-D-12,1.0
1044,15-D-13,1.0
1045,15-D-14,1.0
1046,15-D-15,1.0
1047,15-D-18,1.0
1048,15-D-20,1.0
1049,15-D-21,1.0
1050,15-D-22,1.0
1051,15-D-25,1.0
1052,15-D-27,0.0
1053,15-D-4,1.0
1054,15-D-5,1.0
1055,15-D-6,1.0
1056,15-D-8,1.0
1057,15-D-9,1.0
1058,15-E-1,1.0
1059,15-E-12,1.0
1060,15-E-17,1.0
1061,15-E-3,1.0
1062,15-E-5,1.0
1063,16-A-12,1.0
1064,16-A-15,1.0
1065,16-A-18,1.0
1066,16-A-19,1.0
1067,16-A-2,1.0
1068,16-A-20,1.0
1069,16-A-21,1.0
1070,16-A-25,1.0
1071,16-A-29,1.0
1072,16-A-31,1.0
1073,16-A-32,1.0
1074,16-A-35,1.0
1075,16-A-36,1.0
1076,16-A-37,1.0
1077,16-A-38,1.0
1078,16-A-40,1.0
1079,16-A-41,1.0
1080,16-A-42,1.0
1081,16-A-43,1.0
1082,16-A-45,1.0
1083,16-A-46,1.0
1084,16-A-48,1.0
1085,16-A-5,1.0
1086,16-A-6,1.0
1087,16-A-7,1.0
1088,16-A-9,1.0
1089,16-B-1,1.0
1090,16-B-10,1.0
1091,16-B-11,1.0
1092,16-B-13,1.0
1093,16-B-15,1.0
1094,16-B-16,1.0
1095,16-B-19,1.0
1096,16-B-2,1.0
1097,16-B-22,1.0
1098,16-B-25,0.0
1099,16-B-28,1.0
1100,16-B-31,1.0
1101,16-B-34,1.0
1102,16-B-35,1.0
1103,16-B-36,1.0
1104,16-B-39,1.0
1105,16-B-4,1.0
1106,16-B-40,1.0
1107,16-B-41,0.0
1108,16-B-46,1.0
1109,16-B-47,1.0
1110,16-B-8,1.0
1111,16-B-9,1.0
1112,16-C-12,1.0
1113,16-C-13,1.0
1114,16-C-15,1.0
1115,16-C-16,1.0
1116,16-C-18,1.0
1117,16-C-20,1.0
1118,16-C-21,1.0
1119,16-C-22,1.0
1120,16-C-23,0.0
1121,16-C-26,1.0
1122,16-C-27,1.0
1123,16-C-3,1.0
1124,16-C-30,1.0
1125,16-C-31,1.0
1126,16-C-32,1.0
1127,16-C-34,1.0
1128,16-C-35,1.0
1129,16-C-37,1.0
1130,16-C-38,1.0
1131,16-C-4,1.0
1132,16-C-40,1.0
1133,16-C-42,0.0
1134,16-C-45,0.0
1135,16-C-48,1.0
1136,16-C-49,1.0
1137,16-C-5,1.0
1138,16-C-50,0.0
1139,16-C-6,1.0
1140,16-D-1,0.0
1141,16-D-12,1.0
1142,16-D-13,0.0
1143,16-D-15,1.0
1144,16-D-2,1.0
1145,16-D-20,1.0
1146,16-D-21,1.0
1147,16-D-22,1.0
1148,16-E-10,1.0
1149,16-E-11,1.0
1150,16-E-12,1.0
1151,16-E-3,1.0
