ADDR_NUM,FULL_STR,MBL,ADDRESS_FOR_STREET_VIEW,AERIAL_Driveway,GSV_Driveway,final_label,aerial_filename,gsv_filename
16,LOWELL ST,38-F-18,"16  LOWELL ST, SOMERVILLE, MA",1,1,1.0,16_LOWELL_ST_aerial.png,16_LOWELL_ST.jpg
16,MAIN ST,47-I-9,"16  MAIN ST, SOMERVILLE, MA",2,0,0.1,16_MAIN_ST_aerial.png,16_MAIN_ST.jpg
16,MOORE ST,13-B-23,"16  MOORE ST, SOMERVILLE, MA",2,1,0.9,16_MOORE_ST_aerial.png,16_MOORE_ST.jpg
16,PERRY ST,75-A-18,"16  PERRY ST, SOMERVILLE, MA",1,1,1.0,16_PERRY_ST_aerial.png,16_PERRY_ST.jpg
16,RICHDALE AVE,50-C-16,"16  RICHDALE AVE, SOMERVILLE, MA",1,1,1.0,16_RICHDALE_AVE_aerial.png,16_RICHDALE_AVE.jpg
16,WASHINGTON TERR,81-A-27,"16  WASHINGTON TERR, SOMERVILLE, MA",0,1,0.9,16_WASHINGTON_TERR_aerial.png,16_WASHINGTON_TERR.jpg
16,WINTER HILL CIR,58-D-21,"16  WINTER HILL CIR, SOMERVILLE, MA",1,2,0.9,16_WINTER_HILL_CIR_aerial.png,16_WINTER_HILL_CIR.jpg
17,DICKSON ST,8-E-11,"17  DICKSON ST, SOMERVILLE, MA",1,2,0.9,17_DICKSON_ST_aerial.png,17_DICKSON_ST.jpg
17,GRANT ST,70-B-19,"17  GRANT ST, SOMERVILLE, MA",1,1,1.0,17_GRANT_ST_aerial.png,17_GRANT_ST.jpg
17,LANGMAID AVE,58-C-12,"17  LANGMAID AVE, SOMERVILLE, MA",0,0,0.0,17_LANGMAID_AVE_aerial.png,17_LANGMAID_AVE.jpg
17,PEARSON AVE,28-E-22,"17  PEARSON AVE, SOMERVILLE, MA",2,1,0.9,17_PEARSON_AVE_aerial.png,17_PEARSON_AVE.jpg
17,SPENCER AVE,29-D-23,"17  SPENCER AVE, SOMERVILLE, MA",0,0,0.0,17_SPENCER_AVE_aerial.png,17_SPENCER_AVE.jpg
17,WARE ST,8-B-11,"17  WARE ST, SOMERVILLE, MA",2,1,0.9,17_WARE_ST_aerial.png,17_WARE_ST.jpg
18,BENEDICT ST,102-B-1,"18  BENEDICT ST, SOMERVILLE, MA",1,1,1.0,18_BENEDICT_ST_aerial.png,18_BENEDICT_ST.jpg
18,BILLINGHAM ST,16-D-16,"18  BILLINGHAM ST, SOMERVILLE, MA",1,1,1.0,18_BILLINGHAM_ST_aerial.png,18_BILLINGHAM_ST.jpg
18,CHERRY ST,30-D-14,"18  CHERRY ST, SOMERVILLE, MA",1,2,0.9,18_CHERRY_ST_aerial.png,18_CHERRY_ST.jpg
18,CONNECTICUT AVE,89-B-3,"18  CONNECTICUT AVE, SOMERVILLE, MA",1,1,1.0,18_CONNECTICUT_AVE_aerial.png,18_CONNECTICUT_AVE.jpg
18,KENWOOD ST,15-E-13,"18  KENWOOD ST, SOMERVILLE, MA",1,2,0.9,18_KENWOOD_ST_aerial.png,18_KENWOOD_ST.jpg
18,PINCKNEY ST,105-B-11,"18  PINCKNEY ST, SOMERVILLE, MA",1,1,1.0,18_PINCKNEY_ST_aerial.png,18_PINCKNEY_ST.jpg
18,STICKNEY AVE,60-E-4,"18  STICKNEY AVE, SOMERVILLE, MA",1,1,1.0,18_STICKNEY_AVE_aerial.png,18_STICKNEY_AVE.jpg
18,WALKER ST,15-D-11,"18  WALKER ST, SOMERVILLE, MA",1,1,1.0,18_WALKER_ST_aerial.png,18_WALKER_ST.jpg
19,CLARENDON AVE,9-C-8,"19  CLARENDON AVE, SOMERVILLE, MA",1,1,1.0,19_CLARENDON_AVE_aerial.png,19_CLARENDON_AVE.jpg
19,HANSON ST,54-G-5,"19  HANSON ST, SOMERVILLE, MA",0,1,0.9,19_HANSON_ST_aerial.png,19_HANSON_ST.jpg
19,HINCKLEY ST,32-L-9,"19  HINCKLEY ST, SOMERVILLE, MA",0,0,0.0,19_HINCKLEY_ST_aerial.png,19_HINCKLEY_ST.jpg
19,LEONARD ST,15-D-1,"19  LEONARD ST, SOMERVILLE, MA",0,0,0.0,19_LEONARD_ST_aerial.png,19_LEONARD_ST.jpg
19,MORTON ST,104-A-18,"19  MORTON ST, SOMERVILLE, MA",1,1,1.0,19_MORTON_ST_aerial.png,19_MORTON_ST.jpg
19,MOUNT PLEASANT ST,103-C-5,"19  MOUNT PLEASANT ST, SOMERVILLE, MA",0,0,0.0,19_MOUNT_PLEASANT_ST_aerial.png,19_MOUNT_PLEASANT_ST.jpg
20,BROMFIELD RD,18-C-25,"20  BROMFIELD RD, SOMERVILLE, MA",1,1,1.0,20_BROMFIELD_RD_aerial.png,20_BROMFIELD_RD.jpg
20,CAMERON AVE,13-D-47,"20  CAMERON AVE, SOMERVILLE, MA",1,1,1.0,20_CAMERON_AVE_aerial.png,20_CAMERON_AVE.jpg
20,HAMILTON RD,8-J-34,"20  HAMILTON RD, SOMERVILLE, MA",1,2,0.9,20_HAMILTON_RD_aerial.png,20_HAMILTON_RD.jpg
20,MADISON ST,50-F-13,"20  MADISON ST, SOMERVILLE, MA",1,1,1.0,20_MADISON_ST_aerial.png,20_MADISON_ST.jpg
20,MAIN ST,47-I-10,"20  MAIN ST, SOMERVILLE, MA",2,1,0.9,20_MAIN_ST_aerial.png,20_MAIN_ST.jpg
20,WALDO AVE,66-C-13,"20  WALDO AVE, SOMERVILLE, MA",0,0,0.0,20_WALDO_AVE_aerial.png,20_WALDO_AVE.jpg
20,WILLOW AVE,25-E-11,"20  WILLOW AVE, SOMERVILLE, MA",1,1,1.0,20_WILLOW_AVE_aerial.png,20_WILLOW_AVE.jpg
21,CORINTHIAN RD,12-B-7,"21  CORINTHIAN RD, SOMERVILLE, MA",1,1,1.0,21_CORINTHIAN_RD_aerial.png,21_CORINTHIAN_RD.jpg
21,HALL ST,29-G-23,"21  HALL ST, SOMERVILLE, MA",0,1,0.9,21_HALL_ST_aerial.png,21_HALL_ST.jpg
21,HANCOCK ST,30-D-31,"21  HANCOCK ST, SOMERVILLE, MA",1,2,0.9,21_HANCOCK_ST_aerial.png,21_HANCOCK_ST.jpg
21,NEWBURY ST,9-D-9,"21  NEWBURY ST, SOMERVILLE, MA",1,1,1.0,21_NEWBURY_ST_aerial.png,21_NEWBURY_ST.jpg
21,WALKER ST,15-C-26,"21  WALKER ST, SOMERVILLE, MA",1,1,1.0,21_WALKER_ST_aerial.png,21_WALKER_ST.jpg
22,CAMBRIA ST,43-F-6,"22  CAMBRIA ST, SOMERVILLE, MA",0,1,0.9,22_CAMBRIA_ST_aerial.png,22_CAMBRIA_ST.jpg
22,GRANITE ST,52-F-4,"22  GRANITE ST, SOMERVILLE, MA",1,1,1.0,22_GRANITE_ST_aerial.png,22_GRANITE_ST.jpg
22,HUDSON ST,42-E-3,"22  HUDSON ST, SOMERVILLE, MA",1,1,1.0,22_HUDSON_ST_aerial.png,22_HUDSON_ST.jpg
22,JACKSON RD,71-E-4,"22  JACKSON RD, SOMERVILLE, MA",2,0,0.1,22_JACKSON_RD_aerial.png,22_JACKSON_RD.jpg
22,KNAPP ST,52-E-2,"22  KNAPP ST, SOMERVILLE, MA",2,1,0.9,22_KNAPP_ST_aerial.png,22_KNAPP_ST.jpg
22,ROSSMORE ST,81-C-10,"22  ROSSMORE ST, SOMERVILLE, MA",1,1,1.0,22_ROSSMORE_ST_aerial.png,22_ROSSMORE_ST.jpg
22,WHEATLAND ST,70-B-10,"22  WHEATLAND ST, SOMERVILLE, MA",2,1,0.9,22_WHEATLAND_ST_aerial.png,22_WHEATLAND_ST.jpg
23,BANKS ST,30-B-27,"23  BANKS ST, SOMERVILLE, MA",2,1,0.9,23_BANKS_ST_aerial.png,23_BANKS_ST.jpg
23,BELMONT ST,44-A-38,"23  BELMONT ST, SOMERVILLE, MA",1,1,1.0,23_BELMONT_ST_aerial.png,23_BELMONT_ST.jpg
23,MACARTHUR ST,90-A-9,"23  MACARTHUR ST, SOMERVILLE, MA",1,1,1.0,23_MACARTHUR_ST_aerial.png,23_MACARTHUR_ST.jpg
23,WESLEY PARK,73-A-37,"23  WESLEY PARK, SOMERVILLE, MA",2,1,0.9,23_WESLEY_PARK_aerial.png,23_WESLEY_PARK.jpg
23,WINDSOR RD,29-L-20,"23  WINDSOR RD, SOMERVILLE, MA",1,1,1.0,23_WINDSOR_RD_aerial.png,23_WINDSOR_RD.jpg
24,DIMICK ST,76-A-4,"24  DIMICK ST, SOMERVILLE, MA",2,0,0.1,24_DIMICK_ST_aerial.png,24_DIMICK_ST.jpg
24,HOUGHTON ST,83-C-9,"24  HOUGHTON ST, SOMERVILLE, MA",0,1,0.9,24_HOUGHTON_ST_aerial.png,24_HOUGHTON_ST.jpg
24,MYRTLE ST,104-D-64,"24  MYRTLE ST, SOMERVILLE, MA",1,1,1.0,24_MYRTLE_ST_aerial.png,24_MYRTLE_ST.jpg
24,PARTRIDGE AVE,41-B-19,"24  PARTRIDGE AVE, SOMERVILLE, MA",1,1,1.0,24_PARTRIDGE_AVE_aerial.png,24_PARTRIDGE_AVE.jpg
24,WESLEY ST,78-F-6,"24  WESLEY ST, SOMERVILLE, MA",0,0,0.0,24_WESLEY_ST_aerial.png,24_WESLEY_ST.jpg
25,BAY STATE AVE,19-E-10,"25  BAY STATE AVE, SOMERVILLE, MA",1,1,1.0,25_BAY_STATE_AVE_aerial.png,25_BAY_STATE_AVE.jpg
25,BELKNAP ST,8-G-20,"25  BELKNAP ST, SOMERVILLE, MA",1,1,1.0,25_BELKNAP_ST_aerial.png,25_BELKNAP_ST.jpg
25,KENSINGTON AVE,77-D-6,"25  KENSINGTON AVE, SOMERVILLE, MA",1,0,0.9,25_KENSINGTON_AVE_aerial.png,25_KENSINGTON_AVE.jpg
25,WEBSTER ST,91-A-29,"25  WEBSTER ST, SOMERVILLE, MA",1,1,1.0,25_WEBSTER_ST_aerial.png,25_WEBSTER_ST.jpg
26,APPLETON ST,24-K-2,"26  APPLETON ST, SOMERVILLE, MA",1,1,1.0,26_APPLETON_ST_aerial.png,26_APPLETON_ST.jpg
26,BONAIR ST,90-I-3,"26  BONAIR ST, SOMERVILLE, MA",1,1,1.0,26_BONAIR_ST_aerial.png,26_BONAIR_ST.jpg
26,DARTMOUTH ST,60-A-6,"26  DARTMOUTH ST, SOMERVILLE, MA",1,1,1.0,26_DARTMOUTH_ST_aerial.png,26_DARTMOUTH_ST.jpg
26,HIGH ST,4-B-9,"26  HIGH ST, SOMERVILLE, MA",1,1,1.0,26_HIGH_ST_aerial.png,26_HIGH_ST.jpg
26,MONTROSE ST,50-E-13,"26  MONTROSE ST, SOMERVILLE, MA",1,1,1.0,26_MONTROSE_ST_aerial.png,26_MONTROSE_ST.jpg
26,MYRTLE ST,104-D-65,"26  MYRTLE ST, SOMERVILLE, MA",1,1,1.0,26_MYRTLE_ST_aerial.png,26_MYRTLE_ST.jpg
26,SUMMER ST,63-C-6,"26  SUMMER ST, SOMERVILLE, MA",0,1,0.9,26_SUMMER_ST_aerial.png,26_SUMMER_ST.jpg
26,ALBION ST,42-C-23,"26 ALBION ST, SOMERVILLE, MA",1,1,1.0,26_ALBION_ST_aerial.png,26_ALBION_ST.jpg
27,AUTUMN ST,90-B-13,"27  AUTUMN ST, SOMERVILLE, MA",0,0,0.0,27_AUTUMN_ST_aerial.png,27_AUTUMN_ST.jpg
27,DICKINSON ST,76-B-4,"27  DICKINSON ST, SOMERVILLE, MA",2,1,0.9,27_DICKINSON_ST_aerial.png,27_DICKINSON_ST.jpg
27,DIMICK ST,65-F-8,"27  DIMICK ST, SOMERVILLE, MA",1,0,0.9,27_DIMICK_ST_aerial.png,27_DIMICK_ST.jpg
27,ELSTON ST,25-F-17,"27  ELSTON ST, SOMERVILLE, MA",1,2,0.9,27_ELSTON_ST_aerial.png,27_ELSTON_ST.jpg
27,MYRTLE ST,105-A-32,"27  MYRTLE ST, SOMERVILLE, MA",0,1,0.9,27_MYRTLE_ST_aerial.png,27_MYRTLE_ST.jpg
28,BURNHAM ST,15-A-9,"28  BURNHAM ST, SOMERVILLE, MA",1,1,1.0,28_BURNHAM_ST_aerial.png,28_BURNHAM_ST.jpg
28,DARTMOUTH ST,60-A-5,"28  DARTMOUTH ST, SOMERVILLE, MA",1,1,1.0,28_DARTMOUTH_ST_aerial.png,28_DARTMOUTH_ST.jpg
28,EVERETT AVE,90-G-6,"28  EVERETT AVE, SOMERVILLE, MA",1,1,1.0,28_EVERETT_AVE_aerial.png,28_EVERETT_AVE.jpg
28,LAUREL ST,52-H-24,"28  LAUREL ST, SOMERVILLE, MA",0,2,0.1,28_LAUREL_ST_aerial.png,28_LAUREL_ST.jpg
