index,ADDR_NUM,FULL_STR,MBL,ADDRESS_FOR_STREET_VIEW,AERIAL_Driveway,GSV_Driveway,final_label,aerial_filename,gsv_filename
367,10,AVON ST,51-F-21,"10  AVON ST, SOMERVILLE, MA",1,2,0.9,10_AVON_ST_aerial.png,10_AVON_ST.jpg
369,10,BARTLETT ST,41-D-21,"10  BARTLETT ST, SOMERVILLE, MA",1,1,1,10_BARTLETT_ST_aerial.png,10_BARTLETT_ST.jpg
396,10,CENTRAL ST,44-F-8,"10  CENTRAL ST, SOMERVILLE, MA",0,0,0,10_CENTRAL_ST_aerial.png,10_CENTRAL_ST.jpg
532,10,NEVADA AVE,54-B-13,"10  NEVADA AVE, SOMERVILLE, MA",1,1,1,10_NEVADA_AVE_aerial.png,10_NEVADA_AVE.jpg
545,10,PEARL ST PL,90-G-41,"10  PEARL ST PL, SOMERVILLE, MA",0,0,0,10_PEARL_ST_PL_aerial.png,10_PEARL_ST_PL.jpg
599,10,WARWICK ST,33-G-24,"10  WARWICK ST, SOMERVILLE, MA",1,1,1,10_WARWICK_ST_aerial.png,10_WARWICK_ST.jpg
602,10,WEBSTER ST,91-H-8,"10  WEBSTER ST, SOMERVILLE, MA",2,0,0.1,10_WEBSTER_ST_aerial.png,10_WEBSTER_ST.jpg
612,10,WINSLOW AVE,20-A-16,"10  WINSLOW AVE, SOMERVILLE, MA",1,1,1,10_WINSLOW_AVE_aerial.png,10_WINSLOW_AVE.jpg
1170,11,CROCKER ST,35-C-7,"11  CROCKER ST, SOMERVILLE, MA",0,0,0,11_CROCKER_ST_aerial.png,11_CROCKER_ST.jpg
1199,11,FREMONT AVE,75-C-5,"11  FREMONT AVE, SOMERVILLE, MA",0,0,0,11_FREMONT_AVE_aerial.png,11_FREMONT_AVE.jpg
1232,11,IRVING ST,16-B-3,"11  IRVING ST, SOMERVILLE, MA",1,1,1,11_IRVING_ST_aerial.png,11_IRVING_ST.jpg
1245,11,LEONARD ST,15-D-26,"11  LEONARD ST, SOMERVILLE, MA",0,1,0.9,11_LEONARD_ST_aerial.png,11_LEONARD_ST.jpg
1253,11,LINDEN ST,95-A-7,"11  LINDEN ST, SOMERVILLE, MA",1,0,0.9,11_LINDEN_ST_aerial.png,11_LINDEN_ST.jpg
1256,11,MACARTHUR ST,90-A-4,"11  MACARTHUR ST, SOMERVILLE, MA",1,1,1,11_MACARTHUR_ST_aerial.png,11_MACARTHUR_ST.jpg
1280,11,OAKLAND AVE,59-C-14,"11  OAKLAND AVE, SOMERVILLE, MA",1,1,1,11_OAKLAND_AVE_aerial.png,11_OAKLAND_AVE.jpg
1305,11,ROGERS AVE,28-C-21,"11  ROGERS AVE, SOMERVILLE, MA",1,1,1,11_ROGERS_AVE_aerial.png,11_ROGERS_AVE.jpg
1308,11,SANBORN AVE,73-B-13,"11  SANBORN AVE, SOMERVILLE, MA",0,0,0,11_SANBORN_AVE_aerial.png,11_SANBORN_AVE.jpg
43,11,ACADIA PK,31-C-38,"11 ACADIA PK, SOMERVILLE, MA",0,1,0.9,11_ACADIA_PK_aerial.png,11_ACADIA_PK.jpg
2637,12,DARTMOUTH ST,60-A-11,"12  DARTMOUTH ST, SOMERVILLE, MA",1,1,1,12_DARTMOUTH_ST_aerial.png,12_DARTMOUTH_ST.jpg
2646,12,ELLSWORTH ST,90-F-14,"12  ELLSWORTH ST, SOMERVILLE, MA",1,1,1,12_ELLSWORTH_ST_aerial.png,12_ELLSWORTH_ST.jpg
2653,12,FAIRMOUNT AVE,8-D-3,"12  FAIRMOUNT AVE, SOMERVILLE, MA",0,1,0.9,12_FAIRMOUNT_AVE_aerial.png,12_FAIRMOUNT_AVE.jpg
2770,12,SPENCER AVE,29-E-15,"12  SPENCER AVE, SOMERVILLE, MA",2,0,0.1,12_SPENCER_AVE_aerial.png,12_SPENCER_AVE.jpg
2777,12,SUNSET RD,7-F-12,"12  SUNSET RD, SOMERVILLE, MA",1,1,1,12_SUNSET_RD_aerial.png,12_SUNSET_RD.jpg
1579,13,CLARENDON AVE,9-C-6,"13  CLARENDON AVE, SOMERVILLE, MA",1,1,1,13_CLARENDON_AVE_aerial.png,13_CLARENDON_AVE.jpg
1632,13,LINCOLN ST,91-D-17,"13  LINCOLN ST, SOMERVILLE, MA",1,1,1,13_LINCOLN_ST_aerial.png,13_LINCOLN_ST.jpg
1661,13,SEWALL ST,70-A-15,"13  SEWALL ST, SOMERVILLE, MA",1,1,1,13_SEWALL_ST_aerial.png,13_SEWALL_ST.jpg
1662,13,SKEHAN ST,54-B-6,"13  SKEHAN ST, SOMERVILLE, MA",0,0,0,13_SKEHAN_ST_aerial.png,13_SKEHAN_ST.jpg
7415,14,CEDAR ST,31-A-8,"14  CEDAR ST, SOMERVILLE, MA",1,1,1,14_CEDAR_ST_aerial.png,14_CEDAR_ST.jpg
7508,14,LANGMAID AVE,58-D-12,"14  LANGMAID AVE, SOMERVILLE, MA",1,1,1,14_LANGMAID_AVE_aerial.png,14_LANGMAID_AVE.jpg
7526,14,MANSFIELD ST,81-B-16,"14  MANSFIELD ST, SOMERVILLE, MA",2,2,0.5,14_MANSFIELD_ST_aerial.png,14_MANSFIELD_ST.jpg
6684,15,BOND ST,58-E-15,"15  BOND ST, SOMERVILLE, MA",1,1,1,15_BOND_ST_aerial.png,15_BOND_ST.jpg
6717,15,COTTAGE AVE,26-B-9,"15  COTTAGE AVE, SOMERVILLE, MA",0,1,0.9,15_COTTAGE_AVE_aerial.png,15_COTTAGE_AVE.jpg
6750,15,GORHAM ST,17-A-7,"15  GORHAM ST, SOMERVILLE, MA",1,1,1,15_GORHAM_ST_aerial.png,15_GORHAM_ST.jpg
6849,15,QUINCY ST,63-B-25,"15  QUINCY ST, SOMERVILLE, MA",0,0,0,15_QUINCY_ST_aerial.png,15_QUINCY_ST.jpg
6866,15,ST JAMES AVE,25-E-22,"15  ST JAMES AVE, SOMERVILLE, MA",1,1,1,15_ST_JAMES_AVE_aerial.png,15_ST_JAMES_AVE.jpg
1687,16,BAILEY ST,7-K-5,"16  BAILEY ST, SOMERVILLE, MA",0,1,0.9,16_BAILEY_ST_aerial.png,16_BAILEY_ST.jpg
1689,16,BARTLETT ST,41-D-19,"16  BARTLETT ST, SOMERVILLE, MA",1,1,1,16_BARTLETT_ST_aerial.png,16_BARTLETT_ST.jpg
1700,16,BUCKINGHAM ST,66-C-6,"16  BUCKINGHAM ST, SOMERVILLE, MA",2,0,0.1,16_BUCKINGHAM_ST_aerial.png,16_BUCKINGHAM_ST.jpg
1729,16,CYPRESS ST,44-G-2,"16  CYPRESS ST, SOMERVILLE, MA",2,1,0.9,16_CYPRESS_ST_aerial.png,16_CYPRESS_ST.jpg
1733,16,EASTMAN RD,35-A-12,"16  EASTMAN RD, SOMERVILLE, MA",1,1,1,16_EASTMAN_RD_aerial.png,16_EASTMAN_RD.jpg
1767,16,HAWKINS ST,74-D-11,"16  HAWKINS ST, SOMERVILLE, MA",2,1,0.9,16_HAWKINS_ST_aerial.png,16_HAWKINS_ST.jpg
1799,16,LOWELL ST,38-F-18,"16  LOWELL ST, SOMERVILLE, MA",1,1,1,16_LOWELL_ST_aerial.png,16_LOWELL_ST.jpg
1802,16,MAIN ST,47-I-9,"16  MAIN ST, SOMERVILLE, MA",2,0,0.1,16_MAIN_ST_aerial.png,16_MAIN_ST.jpg
1811,16,MOORE ST,13-B-23,"16  MOORE ST, SOMERVILLE, MA",2,1,0.9,16_MOORE_ST_aerial.png,16_MOORE_ST.jpg
1824,16,PERRY ST,75-A-18,"16  PERRY ST, SOMERVILLE, MA",1,1,1,16_PERRY_ST_aerial.png,16_PERRY_ST.jpg
1838,16,RICHDALE AVE,50-C-16,"16  RICHDALE AVE, SOMERVILLE, MA",1,1,1,16_RICHDALE_AVE_aerial.png,16_RICHDALE_AVE.jpg
1870,16,WASHINGTON TERR,81-A-27,"16  WASHINGTON TERR, SOMERVILLE, MA",0,1,0.9,16_WASHINGTON_TERR_aerial.png,16_WASHINGTON_TERR.jpg
1886,16,WINTER HILL CIR,58-D-21,"16  WINTER HILL CIR, SOMERVILLE, MA",1,2,0.9,16_WINTER_HILL_CIR_aerial.png,16_WINTER_HILL_CIR.jpg
1409,17,DICKSON ST,8-E-11,"17  DICKSON ST, SOMERVILLE, MA",1,2,0.9,17_DICKSON_ST_aerial.png,17_DICKSON_ST.jpg
1434,17,GRANT ST,70-B-19,"17  GRANT ST, SOMERVILLE, MA",1,1,1,17_GRANT_ST_aerial.png,17_GRANT_ST.jpg
1464,17,LANGMAID AVE,58-C-12,"17  LANGMAID AVE, SOMERVILLE, MA",0,0,0,17_LANGMAID_AVE_aerial.png,17_LANGMAID_AVE.jpg
1503,17,PEARSON AVE,28-E-22,"17  PEARSON AVE, SOMERVILLE, MA",2,1,0.9,17_PEARSON_AVE_aerial.png,17_PEARSON_AVE.jpg
1531,17,SPENCER AVE,29-D-23,"17  SPENCER AVE, SOMERVILLE, MA",0,0,0,17_SPENCER_AVE_aerial.png,17_SPENCER_AVE.jpg
1547,17,WARE ST,8-B-11,"17  WARE ST, SOMERVILLE, MA",2,1,0.9,17_WARE_ST_aerial.png,17_WARE_ST.jpg
4126,18,BENEDICT ST,102-B-1,"18  BENEDICT ST, SOMERVILLE, MA",1,1,1,18_BENEDICT_ST_aerial.png,18_BENEDICT_ST.jpg
4128,18,BILLINGHAM ST,16-D-16,"18  BILLINGHAM ST, SOMERVILLE, MA",1,1,1,18_BILLINGHAM_ST_aerial.png,18_BILLINGHAM_ST.jpg
4146,18,CHERRY ST,30-D-14,"18  CHERRY ST, SOMERVILLE, MA",1,2,0.9,18_CHERRY_ST_aerial.png,18_CHERRY_ST.jpg
4150,18,CONNECTICUT AVE,89-B-3,"18  CONNECTICUT AVE, SOMERVILLE, MA",1,1,1,18_CONNECTICUT_AVE_aerial.png,18_CONNECTICUT_AVE.jpg
4204,18,KENWOOD ST,15-E-13,"18  KENWOOD ST, SOMERVILLE, MA",1,2,0.9,18_KENWOOD_ST_aerial.png,18_KENWOOD_ST.jpg
4248,18,PINCKNEY ST,105-B-11,"18  PINCKNEY ST, SOMERVILLE, MA",1,1,1,18_PINCKNEY_ST_aerial.png,18_PINCKNEY_ST.jpg
4275,18,STICKNEY AVE,60-E-4,"18  STICKNEY AVE, SOMERVILLE, MA",1,1,1,18_STICKNEY_AVE_aerial.png,18_STICKNEY_AVE.jpg
4291,18,WALKER ST,15-D-11,"18  WALKER ST, SOMERVILLE, MA",1,1,1,18_WALKER_ST_aerial.png,18_WALKER_ST.jpg
5910,19,CLARENDON AVE,9-C-8,"19  CLARENDON AVE, SOMERVILLE, MA",1,1,1,19_CLARENDON_AVE_aerial.png,19_CLARENDON_AVE.jpg
5954,19,HANSON ST,54-G-5,"19  HANSON ST, SOMERVILLE, MA",0,1,0.9,19_HANSON_ST_aerial.png,19_HANSON_ST.jpg
5961,19,HINCKLEY ST,32-L-9,"19  HINCKLEY ST, SOMERVILLE, MA",0,0,0,19_HINCKLEY_ST_aerial.png,19_HINCKLEY_ST.jpg
5977,19,LEONARD ST,15-D-1,"19  LEONARD ST, SOMERVILLE, MA",0,0,0,19_LEONARD_ST_aerial.png,19_LEONARD_ST.jpg
5992,19,MORTON ST,104-A-18,"19  MORTON ST, SOMERVILLE, MA",1,1,1,19_MORTON_ST_aerial.png,19_MORTON_ST.jpg
5993,19,MOUNT PLEASANT ST,103-C-5,"19  MOUNT PLEASANT ST, SOMERVILLE, MA",0,0,0,19_MOUNT_PLEASANT_ST_aerial.png,19_MOUNT_PLEASANT_ST.jpg
7089,20,BROMFIELD RD,18-C-25,"20  BROMFIELD RD, SOMERVILLE, MA",1,1,1,20_BROMFIELD_RD_aerial.png,20_BROMFIELD_RD.jpg
7091,20,CAMERON AVE,13-D-47,"20  CAMERON AVE, SOMERVILLE, MA",1,1,1,20_CAMERON_AVE_aerial.png,20_CAMERON_AVE.jpg
7146,20,HAMILTON RD,8-J-34,"20  HAMILTON RD, SOMERVILLE, MA",1,2,0.9,20_HAMILTON_RD_aerial.png,20_HAMILTON_RD.jpg
7174,20,MADISON ST,50-F-13,"20  MADISON ST, SOMERVILLE, MA",1,1,1,20_MADISON_ST_aerial.png,20_MADISON_ST.jpg
7175,20,MAIN ST,47-I-10,"20  MAIN ST, SOMERVILLE, MA",2,1,0.9,20_MAIN_ST_aerial.png,20_MAIN_ST.jpg
7233,20,WALDO AVE,66-C-13,"20  WALDO AVE, SOMERVILLE, MA",0,0,0,20_WALDO_AVE_aerial.png,20_WALDO_AVE.jpg
7248,20,WILLOW AVE,25-E-11,"20  WILLOW AVE, SOMERVILLE, MA",1,1,1,20_WILLOW_AVE_aerial.png,20_WILLOW_AVE.jpg
2042,21,CORINTHIAN RD,12-B-7,"21  CORINTHIAN RD, SOMERVILLE, MA",1,1,1,21_CORINTHIAN_RD_aerial.png,21_CORINTHIAN_RD.jpg
2079,21,HALL ST,29-G-23,"21  HALL ST, SOMERVILLE, MA",0,1,0.9,21_HALL_ST_aerial.png,21_HALL_ST.jpg
2080,21,HANCOCK ST,30-D-31,"21  HANCOCK ST, SOMERVILLE, MA",1,2,0.9,21_HANCOCK_ST_aerial.png,21_HANCOCK_ST.jpg
2131,21,NEWBURY ST,9-D-9,"21  NEWBURY ST, SOMERVILLE, MA",1,1,1,21_NEWBURY_ST_aerial.png,21_NEWBURY_ST.jpg
2166,21,WALKER ST,15-C-26,"21  WALKER ST, SOMERVILLE, MA",1,1,1,21_WALKER_ST_aerial.png,21_WALKER_ST.jpg
7837,22,CAMBRIA ST,43-F-6,"22  CAMBRIA ST, SOMERVILLE, MA",0,1,0.9,22_CAMBRIA_ST_aerial.png,22_CAMBRIA_ST.jpg
7876,22,GRANITE ST,52-F-4,"22  GRANITE ST, SOMERVILLE, MA",1,1,1,22_GRANITE_ST_aerial.png,22_GRANITE_ST.jpg
7894,22,HUDSON ST,42-E-3,"22  HUDSON ST, SOMERVILLE, MA",1,1,1,22_HUDSON_ST_aerial.png,22_HUDSON_ST.jpg
7898,22,JACKSON RD,71-E-4,"22  JACKSON RD, SOMERVILLE, MA",2,0,0.1,22_JACKSON_RD_aerial.png,22_JACKSON_RD.jpg
7903,22,KNAPP ST,52-E-2,"22  KNAPP ST, SOMERVILLE, MA",2,1,0.9,22_KNAPP_ST_aerial.png,22_KNAPP_ST.jpg
7961,22,ROSSMORE ST,81-C-10,"22  ROSSMORE ST, SOMERVILLE, MA",1,1,1,22_ROSSMORE_ST_aerial.png,22_ROSSMORE_ST.jpg
7992,22,WHEATLAND ST,70-B-10,"22  WHEATLAND ST, SOMERVILLE, MA",2,1,0.9,22_WHEATLAND_ST_aerial.png,22_WHEATLAND_ST.jpg
3859,23,BANKS ST,30-B-27,"23  BANKS ST, SOMERVILLE, MA",2,1,0.9,23_BANKS_ST_aerial.png,23_BANKS_ST.jpg
3860,23,BELMONT ST,44-A-38,"23  BELMONT ST, SOMERVILLE, MA",1,1,1,23_BELMONT_ST_aerial.png,23_BELMONT_ST.jpg
3946,23,MACARTHUR ST,90-A-9,"23  MACARTHUR ST, SOMERVILLE, MA",1,1,1,23_MACARTHUR_ST_aerial.png,23_MACARTHUR_ST.jpg
4007,23,WESLEY PARK,73-A-37,"23  WESLEY PARK, SOMERVILLE, MA",2,1,0.9,23_WESLEY_PARK_aerial.png,23_WESLEY_PARK.jpg
4016,23,WINDSOR RD,29-L-20,"23  WINDSOR RD, SOMERVILLE, MA",1,1,1,23_WINDSOR_RD_aerial.png,23_WINDSOR_RD.jpg
2948,24,DIMICK ST,76-A-4,"24  DIMICK ST, SOMERVILLE, MA",2,0,0.1,24_DIMICK_ST_aerial.png,24_DIMICK_ST.jpg
2981,24,HOUGHTON ST,83-C-9,"24  HOUGHTON ST, SOMERVILLE, MA",0,1,0.9,24_HOUGHTON_ST_aerial.png,24_HOUGHTON_ST.jpg
3012,24,MYRTLE ST,104-D-64,"24  MYRTLE ST, SOMERVILLE, MA",1,1,1,24_MYRTLE_ST_aerial.png,24_MYRTLE_ST.jpg
3016,24,PARTRIDGE AVE,41-B-19,"24  PARTRIDGE AVE, SOMERVILLE, MA",1,1,1,24_PARTRIDGE_AVE_aerial.png,24_PARTRIDGE_AVE.jpg
3059,24,WESLEY ST,78-F-6,"24  WESLEY ST, SOMERVILLE, MA",0,0,0,24_WESLEY_ST_aerial.png,24_WESLEY_ST.jpg
6919,25,BAY STATE AVE,19-E-10,"25  BAY STATE AVE, SOMERVILLE, MA",1,1,1,25_BAY_STATE_AVE_aerial.png,25_BAY_STATE_AVE.jpg
6921,25,BELKNAP ST,8-G-20,"25  BELKNAP ST, SOMERVILLE, MA",1,1,1,25_BELKNAP_ST_aerial.png,25_BELKNAP_ST.jpg
6989,25,KENSINGTON AVE,77-D-6,"25  KENSINGTON AVE, SOMERVILLE, MA",1,0,0.9,25_KENSINGTON_AVE_aerial.png,25_KENSINGTON_AVE.jpg
7057,25,WEBSTER ST,91-A-29,"25  WEBSTER ST, SOMERVILLE, MA",1,1,1,25_WEBSTER_ST_aerial.png,25_WEBSTER_ST.jpg
8155,26,APPLETON ST,24-K-2,"26  APPLETON ST, SOMERVILLE, MA",1,1,1,26_APPLETON_ST_aerial.png,26_APPLETON_ST.jpg
8166,26,BONAIR ST,90-I-3,"26  BONAIR ST, SOMERVILLE, MA",1,1,1,26_BONAIR_ST_aerial.png,26_BONAIR_ST.jpg
8188,26,DARTMOUTH ST,60-A-6,"26  DARTMOUTH ST, SOMERVILLE, MA",1,1,1,26_DARTMOUTH_ST_aerial.png,26_DARTMOUTH_ST.jpg
8221,26,HIGH ST,4-B-9,"26  HIGH ST, SOMERVILLE, MA",1,1,1,26_HIGH_ST_aerial.png,26_HIGH_ST.jpg
8252,26,MONTROSE ST,50-E-13,"26  MONTROSE ST, SOMERVILLE, MA",1,1,1,26_MONTROSE_ST_aerial.png,26_MONTROSE_ST.jpg
8255,26,MYRTLE ST,104-D-65,"26  MYRTLE ST, SOMERVILLE, MA",1,1,1,26_MYRTLE_ST_aerial.png,26_MYRTLE_ST.jpg
8288,26,SUMMER ST,63-C-6,"26  SUMMER ST, SOMERVILLE, MA",0,1,0.9,26_SUMMER_ST_aerial.png,26_SUMMER_ST.jpg
111,26,ALBION ST,42-C-23,"26 ALBION ST, SOMERVILLE, MA",1,1,1,26_ALBION_ST_aerial.png,26_ALBION_ST.jpg
2442,27,AUTUMN ST,90-B-13,"27  AUTUMN ST, SOMERVILLE, MA",0,0,0,27_AUTUMN_ST_aerial.png,27_AUTUMN_ST.jpg
2470,27,DICKINSON ST,76-B-4,"27  DICKINSON ST, SOMERVILLE, MA",2,1,0.9,27_DICKINSON_ST_aerial.png,27_DICKINSON_ST.jpg
2471,27,DIMICK ST,65-F-8,"27  DIMICK ST, SOMERVILLE, MA",1,0,0.9,27_DIMICK_ST_aerial.png,27_DIMICK_ST.jpg
2528,27,MYRTLE ST,105-A-32,"27  MYRTLE ST, SOMERVILLE, MA",0,1,0.9,27_MYRTLE_ST_aerial.png,27_MYRTLE_ST.jpg
4322,28,BURNHAM ST,15-A-9,"28  BURNHAM ST, SOMERVILLE, MA",1,1,1,28_BURNHAM_ST_aerial.png,28_BURNHAM_ST.jpg
11288,341,LOWELL ST,41-A-51,"341  LOWELL ST, SOMERVILLE, MA",1,1,1,341_LOWELL_ST_aerial.png,341_LOWELL_ST.jpg
